DC分電盤,#3(時刻網用),F4,~,CS-R1 DC,#01P6102,DC-IN(PS0)
DC分電盤,#3(時刻網用),F10,~,CS-R1 DC,#01P6102,DC-IN(PS1)
(317)TD-60P,前面,F4,~,(319)DC分電盤,#3(時刻網用),IN 0
(317)TD-60P,前面,F5,~,(319)DC分電盤,#3(時刻網用),IN 1
(317)TD-60P,背面,F30,~,伝送装置,接地母線,
(319)DC分電盤,#3(時刻網用),ALM,~,(303),E/O VA-1,(                          )
,F1,CS-R1 DC,#01P6001,DC-IN(PS0),7.5A,
CS-R1 DC,#01P6102,DC-IN(PS0),~,DC分電盤,#3(時刻網用),F4
CS-R1 DC,#01P6102,DC-IN(PS1),~,DC分電盤,#3(時刻網用),F10
(319)DC分電盤,#3(時刻網用),IN 0,~,(317)TD-60P,前面,F4
(319)DC分電盤,#3(時刻網用),IN 1,~,(317)TD-60P,前面,F5
伝送装置,接地母線,,~,(317)TD-60P,背面,F30
(303),E/O VA-1,(                          ),~,(319)DC分電盤,#3(時刻網用),ALM
,F7,CS-R1 DC,#01P6001,DC-IN(PS1),7.5A,
,F4,CS-R1 DC,#01P6102,DC-IN(PS0),7.5A,
,F10,CS-R1 DC,#01P6102,DC-IN(PS1),7.5A,
,F4,(319)DC分電盤,#3(時刻網用),IN 0,SHORT,
,F5,(319)DC分電盤,#3(時刻網用),IN 1,SHORT,
,F30,伝送装置,接地母線,ヒューズ,投入禁止,
,F2,CS-R1 DC,#01P6002,DC-IN(PS0),7.5A,
,F8,CS-R1 DC,#01P6002,DC-IN(PS1),7.5A,
CS-R1 DC,#01P6001,DC-IN(PS0),~,DC分電盤,#3(時刻網用),F1
CS-R1 DC,#01P6001,DC-IN(PS1),~,DC分電盤,#3(時刻網用),F7
CS-R1 DC,#01P6002,DC-IN(PS0),~,DC分電盤,#3(時刻網用),F2
CS-R1 DC,#01P6002,DC-IN(PS1),~,DC分電盤,#3(時刻網用),F8
CS-R1 DC,#01P6101,DC-IN(PS0),~,DC分電盤,#3(時刻網用),F3
CS-R1 DC,#01P6101,DC-IN(PS1),~,DC分電盤,#3(時刻網用),F9
,F3,CS-R1 DC,#01P6101,DC-IN(PS0),7.5A,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,F9,CS-R1 DC,#01P6101,DC-IN(PS1),7.5A,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
